"ALLERGY.CODE_ALLERGY.777095480";"A";"Y";"";"Y";"";"777095480";"777000000";"FDB";"TMP13.2MS001005358";"GB";"10"
"ALLERGY.CODE_ALLERGY.777095481";"A";"Y";"";"Y";"";"777095481";"777000000";"FDB";"TMP13.2MS001005362";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099782";"A";"Y";"";"Y";"";"777099782";"777000000";"FDB";"TMP13.2MS001010011";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099783";"A";"Y";"";"Y";"";"777099783";"777000000";"FDB";"TMP13.2MS001010012";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099784";"A";"Y";"";"Y";"";"777099784";"777000000";"FDB";"TMP13.2MS001010307";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099785";"A";"Y";"";"Y";"";"777099785";"777000000";"FDB";"TMP13.2MS001010313";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099786";"A";"Y";"";"Y";"";"777099786";"777000000";"FDB";"TMP13.2MS001010348";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099787";"A";"Y";"";"Y";"";"777099787";"777000000";"FDB";"TMP13.2MS001010351";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099788";"A";"Y";"";"Y";"";"777099788";"777000000";"FDB";"TMP13.2MS001010352";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099789";"A";"Y";"";"Y";"";"777099789";"777000000";"FDB";"TMP13.2MS001010355";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099790";"A";"Y";"";"Y";"";"777099790";"777000000";"FDB";"TMP13.2MS001010910";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099791";"A";"Y";"";"Y";"";"777099791";"777000000";"FDB";"TMP13.2MS001010911";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099792";"A";"Y";"";"Y";"";"777099792";"777000000";"FDB";"TMP13.2MS001010920";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099793";"A";"Y";"";"Y";"";"777099793";"777000000";"FDB";"TMP13.2MS001010927";"GB";"10"
"ALLERGY.CODE_ALLERGY.777099794";"A";"Y";"";"Y";"";"777099794";"777000000";"FDB";"TMP13.2MS001009991";"GB";"10"
