"ALLERGY.CODE_ALLERGY.777159435";"A";"Y";"";"Y";"";"777159435";"777000000";"FR";"TMP13.2FRPK183361";"FR";"10";"FR        PK183361";"";""
"ALLERGY.CODE_ALLERGY.777159436";"A";"Y";"";"Y";"";"777159436";"777000000";"FR";"TMP13.2FR133";"FR";"10";"FR        133";"";""
"ALLERGY.CODE_ALLERGY.777159437";"A";"Y";"";"Y";"";"777159437";"777000000";"FR";"TMP13.2FRUCD7262";"FR";"10";"FR        UCD7262";"";""
"ALLERGY.CODE_ALLERGY.777159438";"A";"Y";"";"Y";"";"777159438";"777000000";"FR";"TMP13.2FRPK195";"FR";"10";"FR        PK195";"";""
"ALLERGY.CODE_ALLERGY.777159439";"A";"Y";"";"Y";"";"777159439";"777000000";"FR";"TMP13.2FRPK180549";"FR";"10";"FR        PK180549";"";""
"ALLERGY.CODE_ALLERGY.777159440";"A";"Y";"";"Y";"";"777159440";"777000000";"FR";"TMP13.2FR73319";"FR";"10";"FR        73319";"";""
"ALLERGY.CODE_ALLERGY.777159441";"A";"Y";"";"Y";"";"777159441";"777000000";"FR";"TMP13.2FRPK204176";"FR";"10";"FR        PK204176";"";""
"ALLERGY.CODE_ALLERGY.777159442";"A";"Y";"";"Y";"";"777159442";"777000000";"FR";"TMP13.2FR91287";"FR";"10";"FR        91287";"";""
"ALLERGY.CODE_ALLERGY.777159443";"A";"Y";"";"Y";"";"777159443";"777000000";"FR";"TMP13.2FRPK258060";"FR";"10";"FR        PK258060";"";""
"ALLERGY.CODE_ALLERGY.777159444";"A";"Y";"";"Y";"";"777159444";"777000000";"FR";"TMP13.2FRPK239021";"FR";"10";"FR        PK239021";"";""
"ALLERGY.CODE_ALLERGY.777159445";"A";"Y";"";"Y";"";"777159445";"777000000";"FR";"TMP13.2FRUCD13211";"FR";"10";"FR        UCD13211";"";""
"ALLERGY.CODE_ALLERGY.777159446";"A";"Y";"";"Y";"";"777159446";"777000000";"FR";"TMP13.2FRPK257908";"FR";"10";"FR        PK257908";"";""
"ALLERGY.CODE_ALLERGY.777159447";"A";"Y";"";"Y";"";"777159447";"777000000";"FR";"TMP13.2FRUCD9031";"FR";"10";"FR        UCD9031";"";""
"ALLERGY.CODE_ALLERGY.777159448";"A";"Y";"";"Y";"";"777159448";"777000000";"FR";"TMP13.2FRUCD13666";"FR";"10";"FR        UCD13666";"";""
"ALLERGY.CODE_ALLERGY.777159449";"A";"Y";"";"Y";"";"777159449";"777000000";"FR";"TMP13.2FRPK237552";"FR";"10";"FR        PK237552";"";""
"ALLERGY.CODE_ALLERGY.777159450";"A";"Y";"";"Y";"";"777159450";"777000000";"FR";"TMP13.2FRUCD15695";"FR";"10";"FR        UCD15695";"";""
