"1";"400";"1";"Y";"128";"";"N"
"2";"400";"311";"Y";"128";"Y";"N"
"3";"400";"3";"Y";"192";"Y";"N"
"4";"400";"4";"Y";"128";"N";"Y"
"5";"400";"5";"Y";"128";"N";"Y"
"6";"400";"6";"Y";"128";"N";"Y"
"7";"400";"7";"Y";"128";"N";"Y"
"8";"400";"8";"Y";"128";"N";"Y"
"9";"400";"37";"Y";"";"Y";"N"
"20";"35";"35";"Y";"320";"Y";"N"
"21";"35";"36";"Y";"192";"Y";"N"
"22";"35";"39";"Y";"128";"N";"Y"
"23";"35";"40";"Y";"128";"N";"Y"
"24";"35";"41";"Y";"128";"N";"Y"
"25";"35";"42";"Y";"128";"N";"Y"
"26";"35";"43";"Y";"128";"N";"Y"
"27";"35";"37";"Y";"";"Y";"N"
"29";"36";"35";"N";"320";"";"N"
"30";"36";"36";"N";"192";"";"N"
"31";"36";"39";"Y";"128";"N";"Y"
"32";"36";"40";"Y";"128";"N";"Y"
"33";"36";"41";"Y";"128";"N";"Y"
"34";"36";"42";"Y";"128";"N";"Y"
"35";"36";"43";"Y";"128";"N";"Y"
"36";"36";"37";"N";"";"";"N"
"37";"500";"34";"Y";"64";"";"N"
"38";"500";"35";"Y";"320";"Y";"N"
"39";"500";"36";"Y";"192";"Y";"N"
"40";"500";"39";"Y";"128";"N";"Y"
"41";"500";"40";"Y";"128";"N";"Y"
"42";"500";"41";"Y";"128";"N";"Y"
"43";"500";"42";"Y";"128";"N";"Y"
"44";"500";"43";"Y";"128";"N";"Y"
"45";"500";"37";"Y";"";"Y";"N"
"47";"505";"35";"Y";"320";"Y";"N"
"48";"505";"36";"Y";"192";"Y";"N"
"49";"505";"39";"Y";"128";"N";"Y"
"50";"505";"40";"Y";"128";"N";"Y"
"51";"505";"41";"Y";"128";"N";"Y"
"52";"505";"42";"Y";"128";"N";"Y"
"53";"505";"43";"Y";"128";"N";"Y"
"54";"505";"37";"Y";"";"Y";"N"
"56";"506";"35";"N";"320";"";"N"
"57";"506";"36";"N";"192";"";"N"
"58";"506";"39";"Y";"128";"N";"Y"
"59";"506";"40";"Y";"128";"N";"Y"
