"2288995";"383798";"9";"REP_Graveluria";"S";"";"I";"";"";"18";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289001";"383798";"9";"REP_Abdominalpain";"S";"";"I";"";"";"1";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289010";"383798";"9";"REP_Renalcolic";"S";"";"I";"";"";"2";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289029";"383798";"9";"REP_Freetext120";"S";"";"I";"";"";"70";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289030";"383798";"5";"REP_TEXT_OTHER120";"O";"";"I";"";"";"71";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289044";"383798";"9";"REP_Kidneyfailure";"S";"";"I";"";"";"56";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289046";"383798";"9";"REP_Lithiasis";"S";"";"I";"";"";"19";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289048";"383798";"9";"REP_Macroscopichaematuria";"S";"";"I";"";"";"20";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289051";"383799";"9";"REP_Newproblem";"S";"";"I";"";"";"1";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289052";"383799";"9";"REP_Chronicproblem";"S";"";"I";"";"";"2";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289053";"383799";"9";"REP_Freetext121";"S";"";"I";"";"";"3";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289054";"383799";"5";"REP_TEXT_OTHER121";"O";"";"I";"";"";"4";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2289055";"383800";"9";"REP_Oneepisode";"S";"";"I";"";"";"1";"Y";"N";"";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
