"777159447";"ABILIFY 15MG CPR / aripiprazole * 15 mg ; voie orale ; cp"
"777159455";"ACEBUTOLOL BGA 400MG CPR / acébutolol (chlorhydrate) * 400 mg ; voie orale ; cp"
"777159456";"ACEBUTOLOL CRISTERS 200 mg cp pellic / acébutolol (chlorhydrate) * 200 mg ; voie orale ; cp"
"777159459";"ACEBUTOLOL RANBAXY 200 mg cp pellic : Plq/90 / acébutolol (chlorhydrate) * 200 mg ; voie orale ; cp"
"777159438";"ACICLOVIR TEVA 800 mg cp : B/35 / aciclovir * 800 mg ; voie orale ; cp"
"777159448";"ABILIFY 5MG CPR D.U"
"777159449";"ABRAXANE 5mg/ml pdre p susp inj p perf : 1Fl/100mg / paclitaxel (albumine) * 100 mg ; voie parentérale ; pdre p susp inj"
"777159460";"ACEBUTOLOL RANBAXY 400 mg cp pellic : Plq/30 / acébutolol (chlorhydrate) * 400 mg ; voie orale ; cp"
"777159439";"ACICLOVIR ZYDUS 5 % crème : T/10g / aciclovir * 5 % ; voie cutanée ; crème"
"777159440";"ACIDE ALENDRONIQUE BIOGARAN 70 mg cp / acide alendronique (sel monosodique) * 70 mg ; voie orale ; cp"
"777159441";"ACIDE ALENDRONIQUE BIOGARAN 70 mg cp : Plq/12 / acide alendronique (sel monosodique) * 70 mg ; voie orale ; cp"
"777159450";"ABSTRAL 200MCG CPR SUBLING"
"777159451";"ABSTRAL 300 µg cp subling : Plq/10"
"777159457";"ACEBUTOLOL CRISTERS 400 mg cp pellic : B/30 / acébutolol (chlorhydrate) * 400 mg ; voie orale ; cp"
"777159442";"ACIDE ALENDRONIQUE PHR LAB 70 mg cp / acide alendronique (sel monosodique) * 70 mg ; voie orale ; cp"
"777159461";"ACEBUTOLOL SANDOZ 400 mg cp enr : Plq/30 / acébutolol (chlorhydrate) * 400 mg ; voie orale ; cp"
"777159443";"ACIDE ALENDRONIQUE PHR LAB 70 mg cp : Plaque/4 / acide alendronique (sel monosodique) * 70 mg ; voie orale ; cp"
"777159452";"ABUFENE 400 mg cp / bêta-alanine * 400 mg ; voie orale ; cp"
"777159444";"ACIDE ALENDRONIQUE RANBAXY 70 mg cp : Plq/4 / acide alendronique (sel monosodique) * 70 mg ; voie orale ; cp"
"777159462";"ACEBUTOLOL TVC 400MG CPR / acébutolol (chlorhydrate) * 400 mg ; voie orale ; cp"
