"ALLERGY.CODE_ALLERGY.777630320";"A";"Y";"";"Y";"";"777630320";"777000000";"SA_VDL";"TMP13.2SA_VDL1000003";"SA";"10";"SA_VDL    1000003";"";""
"ALLERGY.CODE_ALLERGY.777630321";"A";"Y";"";"Y";"";"777630321";"777000000";"SA_VDL";"TMP13.2SA_VDL1000004";"SA";"10";"SA_VDL    1000004";"";""
"ALLERGY.CODE_ALLERGY.777630322";"A";"Y";"";"Y";"";"777630322";"777000000";"SA_VDL";"TMP13.2SA_VDL1000005";"SA";"10";"SA_VDL    1000005";"";""
"ALLERGY.CODE_ALLERGY.777630323";"A";"Y";"";"Y";"";"777630323";"777000000";"SA_VDL";"TMP13.2SA_VDL1000010";"SA";"10";"SA_VDL    1000010";"";""
"ALLERGY.CODE_ALLERGY.777630324";"A";"Y";"";"Y";"";"777630324";"777000000";"SA_VDL";"TMP13.2SA_VDL1000011";"SA";"10";"SA_VDL    1000011";"";""
"ALLERGY.CODE_ALLERGY.777630325";"A";"Y";"";"Y";"";"777630325";"777000000";"SA_VDL";"TMP13.2SA_VDL1000012";"SA";"10";"SA_VDL    1000012";"";""
"ALLERGY.CODE_ALLERGY.777630326";"A";"Y";"";"Y";"";"777630326";"777000000";"SA_VDL";"TMP13.2SA_VDL1000013";"SA";"10";"SA_VDL    1000013";"";""
"ALLERGY.CODE_ALLERGY.777630327";"A";"Y";"";"Y";"";"777630327";"777000000";"SA_VDL";"TMP13.2SA_VDL1000014";"SA";"10";"SA_VDL    1000014";"";""
"ALLERGY.CODE_ALLERGY.777630328";"A";"Y";"";"Y";"";"777630328";"777000000";"SA_VDL";"TMP13.2SA_VDL1000021";"SA";"10";"SA_VDL    1000021";"";""
"ALLERGY.CODE_ALLERGY.777630329";"A";"Y";"";"Y";"";"777630329";"777000000";"SA_VDL";"TMP13.2SA_VDL1000022";"SA";"10";"SA_VDL    1000022";"";""
"ALLERGY.CODE_ALLERGY.777630330";"A";"Y";"";"Y";"";"777630330";"777000000";"SA_VDL";"TMP13.2SA_VDL1000024";"SA";"10";"SA_VDL    1000024";"";""
"ALLERGY.CODE_ALLERGY.777630331";"A";"Y";"";"Y";"";"777630331";"777000000";"SA_VDL";"TMP13.2SA_VDL1000027";"SA";"10";"SA_VDL    1000027";"";""
