"901000000668";"UNIT_MEASURE.CODE_UNIT_MEASURE.901000000668";"1015";"dispositif(s) intra-utérin(s)";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901000000668";""
"901000000433";"UNIT_MEASURE.CODE_UNIT_MEASURE.901000000433";"1015";"dispositif(s) pour application cutanée";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901000000433";""
"901001000031";"UNIT_MEASURE.CODE_UNIT_MEASURE.901001000031";"1015";"disque(s)";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901001000031";""
"901001000032";"UNIT_MEASURE.CODE_UNIT_MEASURE.901001000032";"1015";"distributeur(s)";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901001000032";""
"901000000031";"UNIT_MEASURE.CODE_UNIT_MEASURE.901000000031";"1015";"DL50 (dose(s) létale(s) 50)";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901000000031";""
"901000000134";"UNIT_MEASURE.CODE_UNIT_MEASURE.901000000134";"1015";"Dose(s) Létales 50 chez la souris";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901000000134";""
"901000000033";"UNIT_MEASURE.CODE_UNIT_MEASURE.901000000033";"1015";"dose(s)";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901000000033";""
"901000000692";"UNIT_MEASURE.CODE_UNIT_MEASURE.901000000692";"1015";"dose(s) de 0,1 ml";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901000000692";""
"901000000693";"UNIT_MEASURE.CODE_UNIT_MEASURE.901000000693";"1015";"dose(s) de 0,25 ml";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901000000693";""
"901000000441";"UNIT_MEASURE.CODE_UNIT_MEASURE.901000000441";"1015";"dose(s) de 0,5 ml";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901000000441";""
"901000000443";"UNIT_MEASURE.CODE_UNIT_MEASURE.901000000443";"1015";"dose(s) de 10 ml";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901000000443";""
"901000000446";"UNIT_MEASURE.CODE_UNIT_MEASURE.901000000446";"1015";"dose(s) de 15 ml";"Y";"Y";"UNIT_MEASURE.CODE_UNIT_MEASURE_ABRV.901000000446";""
